A层字段(协议声称),B层已解析(绿色=是),C层已下传(绿色=是)
节点类型/在线状态寄存器(0x7531),,
节点工作电压 mV(0x75F9),,
测量温度1 0.1℃(0x76C1),GREEN,GREEN
测量温度2(三路温度模块),,
测量温度3(三路温度模块),,
测量电流 0.01A(0x7789),,
节点输入状态(0x7851),,
测量压力 Pa(0x8EF9),GREEN,GREEN
集中器报警状态位(0x02功能码),,
映射传感器ID表(0xB799),,
已映射数量(0xB9F0),,
温度上下限报警(本地推算),GREEN,GREEN
